City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,marsa alam,25.0757,34.8918,295.25,61,100,5.67,EG,1708747714
174,tavsanli,39.5424,29.4987,277.9,83,3,1.43,TR,1708749812
175,klyuchi,52.2667,79.1667,253.77,90,97,3.05,RU,1708738952
176,ribeira grande,38.5167,-28.7,288.02,79,100,5.81,PT,1708763701
177,mirnyy,62.5353,113.9611,250.5,76,100,1.79,RU,1708732049
178,sao jose de ribamar,-2.5619,-44.0542,300.36,87,97,3.67,BR,1708679079
179,al jahra',29.3375,47.6581,293.5,29,83,3.0,KW,1708744865
180,bijapur,16.8333,75.7,295.83,31,20,2.33,IN,1708737546
181,calvi,42.5,8.8333,281.5,58,40,4.63,FR,1708754970
182,bamboo flat,11.7,92.7167,300.2,78,20,3.09,IN,1708733243
183,wailua homesteads,22.0669,-159.378,298.39,70,75,6.17,US,1708707817
184,grand falls-windsor,48.9332,-55.6649,270.85,93,100,2.86,CA,1708684658
185,bealanana,-14.55,48.7333,292.38,99,98,1.15,MG,1708742694
186,badger,64.8,-147.5333,271.29,54,75,3.09,US,1708708931
187,soio,-6.1349,12.3689,300.64,85,100,3.86,AO,1708751786
188,alto araguaia,-17.3147,-53.2153,294.09,97,45,2.28,BR,1708680621
189,enewetak,11.3474,162.3373,299.24,77,100,8.54,MH,1708716524
190,baiona,43.4833,-1.4833,279.29,93,100,2.06,FR,1708757515
191,tara,56.8944,74.371,254.28,86,100,3.09,RU,1708740644
192,merizo village,13.2658,144.6691,302.46,83,79,8.58,GU,1708720845
193,cabo san lucas,22.8909,-109.9124,296.21,71,100,2.47,MX,1708695991
194,egilsstadir,65.2653,-14.3948,273.1,80,100,6.17,IS,1708763348
195,las vegas,36.175,-115.1372,291.84,25,75,6.26,US,1708697958
196,bhilai,21.2167,81.4333,293.22,39,0,3.17,IN,1708736368
197,shar,49.5886,81.0453,260.76,92,100,3.86,KZ,1708738237
198,berezovo,63.9381,65.0419,259.46,97,100,2.08,RU,1708744041
199,alegria,9.4669,125.5772,301.3,67,19,1.27,PH,1708725265
200,ceuta,35.8903,-5.3075,286.17,75,95,9.15,ES,1708757930
201,naha,26.2125,127.6811,294.81,73,75,6.17,JP,1708725513
202,sydney mines,46.2367,-60.2177,274.64,94,75,4.12,CA,1708685511
203,winslow,35.0242,-110.6974,286.25,21,0,1.54,US,1708696824
204,tazovsky,67.4667,78.7,249.3,98,70,4.9,RU,1708741620
205,gorontalo,0.5412,123.0595,305.74,54,9,0.51,ID,1708725498
206,trincomalee,8.5711,81.2335,298.77,79,100,2.3,LK,1708735867
207,cannonvale,-20.2833,148.7,300.81,89,100,5.42,AU,1708718428
208,tieli,46.95,128.05,263.09,82,96,1.13,CN,1708726736
209,iznik,40.4286,29.7211,277.91,70,1,2.32,TR,1708749818
210,whangarei,-35.7317,174.3239,301.26,43,38,3.57,NZ,1708711403
211,meadow lake,34.8014,-106.5436,284.1,26,62,2.61,US,1708695814
212,choele choel,-39.2667,-65.6833,291.16,30,0,6.84,AR,1708682333
213,roswell,34.0232,-84.3616,287.09,60,100,5.14,US,1708690449
214,geraldton,-28.7667,114.6,297.38,88,40,4.63,AU,1708726172
215,vila franca do campo,37.7167,-25.4333,287.38,83,99,1.71,PT,1708762867
216,st. john's,47.5649,-52.7093,273.3,96,100,4.63,CA,1708683825
217,lata,40.1629,-8.3327,282.64,86,100,6.44,PT,1708758924
218,vila velha,-20.3297,-40.2925,299.79,93,75,2.06,BR,1708677372
219,mopti,14.6667,-4.0,294.35,12,0,3.94,ML,1708756573
220,bubaque,11.2833,-15.8333,299.39,65,84,5.02,GW,1708759269
221,polyarnyy,69.1989,33.4478,274.68,85,100,9.54,RU,1708752972
222,zhaozhou,45.6833,125.3167,263.97,76,100,2.17,CN,1708727287
223,carnarvon,-24.8667,113.6333,300.86,71,96,6.59,AU,1708726616
224,yacuiba,-22.038,-63.6797,293.94,98,100,1.45,BO,1708682901
225,tvoroyri,61.5556,-6.8111,278.47,72,100,11.21,FO,1708760795
226,chabahar,25.2919,60.643,294.29,60,0,1.67,IR,1708741548
227,kuzhithurai,8.3167,77.1833,299.97,82,66,1.8,IN,1708736828
228,oktyabr'skiy,54.4815,53.471,251.42,99,5,1.79,RU,1708745354
229,oliver,49.1831,-119.5524,283.1,57,48,3.6,CA,1708699994
230,bathsheba,13.2167,-59.5167,299.49,78,40,4.12,BB,1708683460
231,mormugao,15.4,73.8,294.74,73,8,1.54,IN,1708737940
232,mejit,10.2753,170.8646,299.86,82,90,9.73,MH,1708714433
233,fort st. john,56.2499,-120.8529,270.09,93,100,2.57,CA,1708701082
234,nagqu,31.5,92.0,262.6,49,71,2.9,CN,1708734346
235,restrepo,3.822,-76.5224,295.34,93,68,1.64,CO,1708687140
236,yakeshi,49.2833,120.7333,255.7,84,100,0.93,CN,1708728696
237,yen vinh,18.6667,105.6667,294.79,92,100,2.81,VN,1708730439
238,fort bragg,35.139,-79.006,284.9,95,0,1.54,US,1708689231
239,kokshetau,53.2775,69.3883,243.9,95,29,2.3,KZ,1708741404
240,constitucion,-35.3333,-72.4167,288.19,75,0,4.04,CL,1708684229
241,lido adriano,44.4123,12.3086,284.58,74,5,5.53,IT,1708754278
242,manokwari,-0.8667,134.0833,300.42,77,88,3.25,ID,1708722794
243,armacao de buzios,-22.7469,-41.8817,300.18,94,100,8.42,BR,1708677631
244,port lincoln,-34.7333,135.8667,292.81,57,13,6.46,AU,1708720704
245,sabang,5.8933,95.3214,301.65,74,37,6.58,ID,1708732375
